Illizi Takhamalt	VVZ	DAAP	26.723536	8.622653
Ain Oussera	AAQ	DAAQ	35.525414	2.878714
Tamanrasset	TMR	DAAT	22.811461	5.451075
Jijel	GJL	DAAV	36.795136	5.873608
Mecheria	AAY	DAAY	33.535853	-0.242353
Relizane	AAZ	DAAZ	35.752239	0.626272
Annaba	AAE	DABB	36.822225	7.809167
Mohamed Boudiaf Intl	CZL	DABC	36.276028	6.620386
Cheikh Larbi Tebessi	TEE	DABS	35.431611	8.120717
Hassi R Mel	HRM	DAFH	32.930431	3.311542
Bou Chekif	TID	DAOB	35.341136	1.463147
Bou Sfer	AOE	DAOE	35.735389	-0.805389
Tindouf	TIN	DAOF	27.700372	-8.167103
Ech Cheliff	QAS	DAOI	36.212658	1.331775
Tafaraoui	TAF	DAOL	35.542444	-0.532278
Zenata	TLM	DAON	35.016667	-1.45
Es Senia	ORN	DAOO	35.623858	-0.621183
Sidi Bel Abbes	AOS	DAOS	35.171775	-0.593275
Ghriss	MUW	DAOV	35.207725	0.147142
Touat Cheikh Sidi Mohamed Belkebir	AZR	DAUA	27.837589	-0.186414
Biskra	BSK	DAUB	34.793289	5.738231
El Golea	ELG	DAUE	30.571294	2.859586
Noumerat	GHA	DAUG	32.384106	3.794114
Oued Irara	HME	DAUH	31.672972	6.140444
In Salah	INZ	DAUI	27.251022	2.512017
Sidi Mahdi	TGR	DAUK	33.067803	6.088672
Laghouat	LOO	DAUL	33.764383	2.928344
Timimoun	TMX	DAUT	29.237119	0.276033
Ouargla	OGX	DAUU	31.917223	5.412778
In Amenas	IAM	DAUZ	28.05155	9.642911
Cadjehoun	COO	DBBB	6.357228	2.384353
Ouagadougou	OUA	DFFD	12.353194	-1.512417
Bobo Dioulasso	BOY	DFOO	11.160056	-4.330969
Kotoka Intl	ACC	DGAA	5.605186	-0.166786
Tamale	TML	DGLE	9.557192	-0.863214
Wa	GLW	DGLW	10.082664	-2.507694
Sunyani	NYI	DGSN	7.361828	-2.328756
Takoradi	TKD	DGTK	4.896056	-1.774756
Abidjan Felix Houphouet Boigny Intl	ABJ	DIAP	5.261386	-3.926294
Bouake	BYK	DIBK	7.7388	-5.073667
Daloa	DJO	DIDL	6.792808	-6.473189
Korhogo	HGO	DIKO	9.387183	-5.556664
Man	MJC	DIMN	7.272069	-7.587364
San Pedro	SPY	DISP	4.746717	-6.660817
Yamoussoukro	ASK	DIYO	6.903167	-5.365581
Nnamdi Azikiwe Intl	ABV	DNAA	9.006792	7.263172
Akure	AKR	DNAK	7.246739	5.301008
Benin	BNI	DNBE	6.316981	5.599503
